tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,59,318,55,291,4,27,2,26,42,224,11,41
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,1,497,1,451,0,46,0,42,0,354,1,55
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,100,265,93,236,7,29,11,24,68,178,14,34
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,97,201,88,183,9,18,7,20,61,141,20,22
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,21,331,20,295,1,36,1,33,16,225,3,37
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,78,252,68,227,10,25,8,27,48,170,12,30
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,97,122,89,115,8,7,9,14,67,80,13,21
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,0,312,0,282,0,30,0,24,0,212,0,46
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,116,220,108,201,8,19,11,25,80,152,17,24
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,34,189,32,164,2,25,4,21,24,117,4,26
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,20,351,19,320,1,31,2,42,15,239,2,39
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,1,107,1,95,0,12,1,7,0,76,0,12
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,19,105,18,91,1,14,2,10,9,69,7,12
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,0,493,0,448,0,45,0,48,0,343,0,57
500,0.1,454,46,900.0,0.08333333333333333,2.0,0.1,0.75,11,378,9,345,2,33,0,34,5,267,4,44
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,33,330,33,296,0,34,1,37,29,224,3,35
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,13,458,12,417,1,41,1,59,6,286,5,72
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,55,184,50,160,5,24,8,17,35,119,7,24
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,9,278,8,249,1,29,1,30,6,177,1,42
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,41,440,39,398,2,42,4,50,28,296,7,52
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,2,497,2,451,0,46,1,41,1,343,0,67
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,1,257,1,231,0,26,1,20,0,181,0,30
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,30,444,27,402,3,42,3,33,21,321,3,48
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,93,181,86,161,7,20,8,22,65,107,13,32
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,65,320,58,290,7,30,5,37,48,217,5,36
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,110,153,99,142,11,11,8,14,71,108,20,20
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,3,160,1,143,2,17,0,18,1,104,0,21
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,2,153,1,138,1,15,0,12,1,113,0,13
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,80,345,74,312,6,33,5,30,61,244,8,38
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,3,57,2,53,1,4,0,2,1,47,1,4
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,7,204,7,183,0,21,3,19,3,141,1,23
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,1,280,1,251,0,29,0,24,1,196,0,31
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,0,74,0,68,0,6,0,4,0,57,0,7
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,0,151,0,132,0,19,0,12,0,101,0,19
500,0.1,454,46,1000.0,0.08333333333333333,2.0,0.1,0.75,0,304,0,274,0,30,0,31,0,206,0,37
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,499,0,453,0,46,0,46,0,353,0,54
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,496,0,450,0,46,0,44,0,344,0,62
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,2,495,2,450,0,45,1,48,1,355,0,47
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,23,355,22,320,1,35,2,33,20,239,0,48
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,213,281,195,254,18,27,14,30,155,191,26,33
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,139,330,131,293,8,37,16,26,94,228,21,39
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,91,133,86,117,5,16,7,14,61,84,18,19
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,498,0,452,0,46,0,48,0,342,0,62
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,497,0,451,0,46,0,51,0,337,0,63
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,21,159,16,144,5,15,1,16,13,111,2,17
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,4,278,4,249,0,29,0,30,4,195,0,24
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,9,209,8,190,1,19,2,24,6,135,0,31
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,1,339,1,304,0,35,1,35,0,222,0,47
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,499,0,453,0,46,0,50,0,337,0,66
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,316,0,286,0,30,0,32,0,207,0,47
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,1,446,1,404,0,42,1,35,0,318,0,51
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,0,497,0,451,0,46,0,43,0,356,0,52
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,4,211,3,192,1,19,0,19,3,151,0,22
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,9,233,9,215,0,18,0,21,7,162,2,32
500,0.1,454,46,1100.0,0.08333333333333333,2.0,0.1,0.75,3,343,3,312,0,31,1,23,2,235,0,54
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,22,248,17,227,5,21,1,21,16,175,0,31
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,7,165,6,152,1,13,0,15,5,116,1,21
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,77,250,73,224,4,26,5,30,54,161,14,33
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,67,151,62,136,5,15,5,10,45,107,12,19
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,4,265,4,236,0,29,0,24,4,178,0,34
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,47,450,43,408,4,42,6,41,29,300,8,67
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,14,80,12,71,2,9,3,4,8,58,1,9
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,0,274,0,249,0,25,0,15,0,198,0,36
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,2,494,2,448,0,46,1,48,1,345,0,55
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,77,270,69,247,8,23,12,25,44,190,13,32
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,3,221,3,202,0,19,2,25,1,145,0,32
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,2,279,1,250,1,29,0,28,1,189,0,33
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,2,257,1,235,1,22,1,16,0,179,0,40
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,1,92,1,87,0,5,1,17,0,53,0,17
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,2,401,2,362,0,39,0,40,1,278,1,44
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,1,355,1,321,0,34,0,41,1,236,0,44
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,37,66,33,58,4,8,3,4,27,44,3,10
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,13,47,11,44,2,3,0,5,10,33,1,6
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,23,149,21,133,2,16,2,14,9,97,10,22
500,0.1,454,46,1200.0,0.08333333333333333,2.0,0.1,0.75,1,237,1,213,0,24,0,25,1,156,0,32
